tick,scale_name,candidate_task_count,candidate_vehicle_count,iteration_count,planning_time_ms,initial_score,best_score,score_improvement,initial_distance,best_distance,initial_lateness,best_lateness,initial_unassigned,best_unassigned,accepted_count,best_destroy,best_repair,destroy_weights,repair_weights
484,large,6,3,120,0.06,-48.0,-48.0,0.0,0.0,0.0,0.0,0.0,6,6,0,,,"[1.0, 1.0, 1.0, 1.0]","[1.0, 1.0, 1.0, 1.0]"
485,large,7,3,120,0.06,-56.0,-56.0,0.0,0.0,0.0,0.0,0.0,7,7,0,,,"[1.0, 1.0, 1.0, 1.0]","[1.0, 1.0, 1.0, 1.0]"
486,large,8,3,120,5.08,-44.66,-44.66,0.0,25.2,25.2,0.0,0.0,7,7,120,,,"[2.75, 2.1, 2.5, 2.65]","[2.55, 2.55, 2.35, 2.55]"
487,large,7,2,120,2.55,-38.49,-38.49,0.0,33.6,33.6,0.0,0.0,6,6,120,,,"[2.6, 2.45, 2.5, 2.45]","[3.1, 2.0, 2.45, 2.45]"
488,large,7,1,120,2.39,-36.74,-36.74,0.0,25.8,25.8,0.0,0.0,6,6,120,,,"[2.35, 2.85, 2.8, 2.0]","[2.3, 2.9, 2.3, 2.5]"
489,large,6,2,120,0.05,-48.0,-48.0,0.0,0.0,0.0,0.0,0.0,6,6,0,,,"[1.0, 1.0, 1.0, 1.0]","[1.0, 1.0, 1.0, 1.0]"
490,large,6,3,120,0.06,-48.0,-48.0,0.0,0.0,0.0,0.0,0.0,6,6,0,,,"[1.0, 1.0, 1.0, 1.0]","[1.0, 1.0, 1.0, 1.0]"
491,large,6,3,120,0.05,-48.0,-48.0,0.0,0.0,0.0,0.0,0.0,6,6,0,,,"[1.0, 1.0, 1.0, 1.0]","[1.0, 1.0, 1.0, 1.0]"
492,large,8,3,120,0.06,-64.0,-64.0,0.0,0.0,0.0,0.0,0.0,8,8,0,,,"[1.0, 1.0, 1.0, 1.0]","[1.0, 1.0, 1.0, 1.0]"
493,large,8,3,120,0.08,-64.0,-64.0,0.0,0.0,0.0,0.0,0.0,8,8,0,,,"[1.0, 1.0, 1.0, 1.0]","[1.0, 1.0, 1.0, 1.0]"
494,large,8,4,120,0.08,-64.0,-64.0,0.0,0.0,0.0,0.0,0.0,8,8,0,,,"[1.0, 1.0, 1.0, 1.0]","[1.0, 1.0, 1.0, 1.0]"
495,large,8,5,120,4.84,-42.11,-42.11,0.0,18.6,18.6,0.0,0.0,7,7,120,,,"[1.95, 2.8, 2.75, 2.5]","[3.7, 2.6, 1.95, 1.75]"
